Test Case ID,Module Name,Title,Description/User Story,Preconditions,#,Steps,Expected Result,Test Data,Defects/Remarks,ReqID,Status,Automation,Test Type,Type of Test Case,Priority,State
TC-628,FAA Airspace,FAA Airspace - Attempt unauthorized access to FAA Airspace.,"Verify that users without proper permissions (e.g., Read-Only and
Read-Only Limited) are prevented from accessing air facility request
management functions. This security test ensures that only authorized
personnel can interact with the system.

","1.  Multiple user accounts with different roles (Read-only and Read-Only
    Limited).
2.  The system has existing FAA Airspace records.

",,"1. Log in with a non-administrator account, such as a ""Read-Only Limited""
role.","1. The system should allow login but with limited access to 
functionalities.",,,,,Not Automated,,Security,Critical,Active
,,,,,,"2. Validate the following menu displays:

* Home
* Scheduling
* Operations
* Library

","2. Validate that the FAA Airspace is not visible to the Read-Only Limited 
user.",,,,,,,,,
,,,,,,"3. Select the Logout link.

","3. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information. [Login Again] link.""",,,,,,,,,
,,,,,,"4. Log in with a non-administrator account, such as a ""Read-Only"" role.","4. The system should allow login but with limited access to 
functionalities.",,,,,,,,,
,,,,,,"5. Validate the following menu displays:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library
Navigate to the FAA Airspace module.","5. Validate that the FAA Airspace is visible, however, the data is ""read-only"".

",,,,,,,,,
,,,,,,"6. Select the Logout link.

","6. The Logout page displays with a system message: \""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information.\"" \[Login Again\] link.

",,,,,,,,,
,,,,,,"7. Log in with a non-administrator account, such as a ""Range Control Logistics"" role.","7. The system should allow login, but with limited access to 
functionalities.

",,,,,,,,,
,,,,,,"8. Validate the following menu displays:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library
Navigate to the FAA Airspace module.","8. Validate that the FAA Airspace is visible, however, the data is ""read-only"".",,,,,,,,,
,,,,,,"9. Select the Logout link.

","9. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information. [Login Again] link.""",,,,,,,,,
,,,,,,"10. Log in with a non-administrator account, such as a ""Range Control
Safety"" role.","10. The system should allow login, but with limited access to 
functionalities.",,,,,,,,,
,,,,,,"11. Validate the following menu displays:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library
Navigate to the FAA Airspace module.","11. Validate that the FAA Airspace is visible, however, the data is ""read-only"".",,,,,,,,,
,,,,,,"12. Select the Logout link.

","12. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information. [Login Again] link.""",,,,,,,,,
,,,,,,"13. Log in with a non-administrator account, such as a ""Range Control
Environment"" role.","13. The system should allow login, but with limited access to 
functionalities.",,,,,,,,,
,,,,,,"14. Validate the following menu displays:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library
Navigate to the FAA Airspace module.","14. Validate that the FAA Airspace is visible, however, the data is ""read-only"".",,,,,,,,,
,,,,,,"15. Select the Logout link.

","15. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information. [Login Again] link.""",,,,,,,,,
,,,,,,"16. Log in with a non-administrator account, such as a ""Range Control
Scheduler"" role.","16. The system should allow login, but with limited access to 
functionalities.",,,,,,,,,
,,,,,,"17. Validate the following menu displays:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library
Navigate to the FAA Airspace module.","17. Validate that the FAA Airspace is visible, however, the data is ""read-only"".",,,,,,,,,
,,,,,,"18. Select the Logout link.

","18. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information. [Login Again] link.",,,,,,,,,
TC-622,FAA Airspace,FAA Airspace - View complete details of an existing FAA Airspace.,"Verify that a Functional Administrator can access and view all details
of an existing air facility request. This test case ensures that all
relevant information is displayed correctly and completely.

","1. The Functional Administrator is logged into the FAA Airspace
system.2. Test data should be 50+ records.3. The Functional
Administrator has the necessary permissions to view air facility
requests.

",,"1. Navigate to the Administration/Airspace/FAA Airspace.

","1. The Administration : Airspace : FAA Airspaces page is displayed.

",,,,,Not Automated,,Smoke & Sanity,Critical,Active
,,,,,,2. Select the existing Airspace record and click on the 'Edit' link under the Action column.,2. The Administration : Airspace : FAA Airspaces : Airspace page is displayed.,,,,,,,,,
,,,,,,"3. Verify that all relevant information is displayed.

","3. All details of the air facility request are visible (if applicable):
* Fire Desk Name (dropdown) - required
* AIrspace ID - required
* AIrspace Name - required
* FAA Approval Required checkbox
* AIrspace Lower Altitude (MSL ft.) - required
* Airspace Upper Altitude (MSL ft.) - required
* Street Address
* Address Line 2
* City, State
* Zip Code
* Supersonic Capability (dropdown)
* Point of Contact
* Phone Number
* Airspace Remarks
* Description",,,,,,,,,
,,,,,,"4. Check the completeness of the information displayed.

","4. All fields contain the correct and complete information.

",,,,,,,,,
,,,,,,"5. Attempt to scroll through the entire request details.

","5. All information is accessible, and there are no display issues or
cut-off details.

",,,,,,,,,
,,,,,,"6. Select the Logout link.
","6. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information. [Login Again] link.""",,,,,,,,,
TC-624,FAA Airspace,FAA Airspace - Attempt to view details of a deleted FAA Airspace.,"Verify that the system handles attempts to view details of deleted air
facility requests appropriately, either by showing a \'not found\'
message or redirecting to a relevant page. This negative test case
ensures proper handling of non-existent requests.

","1. The Functional Administrator is logged into the FAA Airspace
module.2. An existing FAA Airspace record(s) are available.3. The
Functional Administrator has the necessary permissions to edit FAA
Airspace.

",,"1. Navigate to the Administration/Airspace/FAA Airspace.



","1. The Administration : Airspace : FAA Airspaces page is displayed.

",,,,,Not Automated,,Functional,High,Active
,,,,,,"2. Select the SHOW DELETED link at the top of the table grid.

","2. The records for the deleted Airspace displays and the SHOW DELETED link
are now HIDE DELETED.

",,,,,,,,,
,,,,,,"3. Select the ""reactive' link under the Action column.","3. The Administration : Airspace : FAA Airspaces details page is displayed.

",,,,,,,,,
,,,,,,"4. Select the SAVE button.

","4. The Administration : Airspace : FAA Airspaces details page with the
record no longer displaying in the ""deleted"" page.",,,,,,,,,
,,,,,,"5. Select the HIDE DELETED link.

","5. The Administration : Airspace : FAA Airspaces page displays and verify
the data exists in the table grid.

",,,,,,,,,
