Test Case ID,Module Name,Title,Description/User Story,Preconditions,#,Steps,Expected Result,Test Data,Defect/Remarks,ReqID,Status,Automation,Test Type,Type of Test Case,Priority,State
,,,,,,"3. Select multiple Event records by selecting the desired checkboxe + CTRL key.

","3. Multiple requests are selected and highlighted.

",,,,,,,,,
,,,,,,4. Under the action column select 'delete selected'.,"4. A confirmation dialog appears, asking to confirm the bulk deletion and
showing the number of requests to be deleted.

",,FAIL - doesn' do multiple delete.,,,,,,,
,,,,,,"5. Confirm the bulk deletion in the dialog.

","5. The system begins processing the deletion of multiple requests
simultaneously.",,FAIL - doesn' do multiple delete.,,,,,,,
,,,,,,"6. Monitor the progress of the bulk deletion operation.

","6. The system provides feedback on the progress, such as a progress bar or
status messages.

",,FAIL - doesn' do multiple delete.,,,,,,,
,,,,,,"7. Once the operation is complete, verify that all selected records have
been removed from the list.

","7. The deleted requests are no longer visible in the equipment request
list.

",,FAIL - doesn' do multiple delete.,,,,,,,
,,,,,,"8. Select the Logout link.

","8. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information.""
[Login Again] link.",,,,,,,,,
TC-715,Events,FA Event - create NEW AIR and GROUND Standard Events.,"Ensure that new event entries can be successfully created in the events module.

","1.  User must have the necessary permissions to create new standard events.
2.  Required fields needed for creating a new standard event must be clearly
    defined and available in the system.

",,"1. Open the RFMSS website and login with an FA credentials.

","1. Observe the following Menu options are available:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library",,,,,Not Automated,,Functional,Critical,Active
,,,,,,"2. Navigate to Administration : Event: Standard Events

","2. The Administration : Event : Standard Events table grid page is displayed.

",,,,,,,,,
,,,,,,"3. Select the 'new' link under the Action column.

","3. The Administration : Event : Standard Events page is displayed with the
following field:
* Event (required)
* [SAVE]
* [CANCEL]",,,,,,,,,
,,,,,,"4. Enter AIR in the Event field.
",4. The system returns event that contains 'AIR'.,,,,,,,,,
,,,,,,5. Select 'AIR OPS' as the Event.,5. The Facility/Airspace options displays.,,,,,,,,,
,,,,,,6. Select 'FULLERTON 1' and 'HORSE HEAD 1' checkboxes.,6. The selected data is selected and highlighted.,,,,,,,,,
,,,,,,"7. Save the modified data. Click the [SAVE] button.
","7. The Administration : Event : Standard Events table grid page is displayed.
",,,,,,,,,
,,,,,,"8. Under the Event filter, search for 'AIR'.","8. The system returns results that contains 'AIR' in the Event column and validate the data entered from the previous steps displays.
",,,,,,,,,
,,,,,,"9. Select the 'new' link under the Action column.

","9. The Administration : Event : Standard Events page is displayed with the
following field:
* Event (required)
* [SAVE]
* [CANCEL]",,,,,,,,,
,,,,,,"10. Select the [SEARCH-ICON].
",10. The system returns the Event Type pop-up window.,,,,,,,,,
,,,,,,11. Enter 'AMMO' in the Event Name.,"11. The system returns the Event Type that contains ""AMMO"" in the Event Name.",,,,,,,,,
,,,,,,"12. Select ""AMMO STORAGE'",12. The Facility/Airspace options displays.,,,,,,,,,
,,,,,,"13. Select Page 2, then select 'MILL CREEK1' and 'OBSTACLE COURSE' checkboxes.",13. The selected data is selected and highlighted.,,,,,,,,,
,,,,,,"14. Save the modified data. Click the [SAVE] button.
","14. The Administration : Event : Standard Events table grid page is displayed.
",,,,,,,,,
,,,,,,"15. Under the Event filter, search for 'AMMO'.","15. The system returns results that contains 'AMMO' in the Event column and validate the data entered from the previous steps displays.
",,,,,,,,,
,,,,,,"16. Select the Logout link.

","16. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely
clears your login information.""
[Login Again] link.",,,,,,,,,
TC-716,Events,FA Event - EDIT existing AIR and GROUND Standard Events.,"Ensure that edited event entries can be successfully created in the events module.

","1.  User must have the necessary permissions to edit events in the FA
    Event module.
2.  The system must have an active, functioning interface for editing
    existing events.
3.  Required fields needed for creating a new vehicle must be clearly
    defined and available in the system.

",,"1. Open the RFMSS website and login with an FA credentials.

","1. Observe the following Menu options are available:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library",,,,,Not Automated,,Functional,Critical,Active
,,,,,,"2. Navigate to Administration : Event: Standard Events

","2. The Administration : Event : Standard Events table grid page is displayed.

",,,,,,,,,
,,,,,,"3. Under the Event Name column filter for ""AMMO"".

","3. The results displays the Events that contains ""AMMO"".

",,,,,,,,,
,,,,,,"4. Select edit under the Action column for Facility/Airspace = MILL CREEK 1.

","4. The Administration : Event : Standard Events page is displayed with the
following fields:
* Event (required)
* Facility/Airspace (required)
* [SAVE]
* [CANCEL]",,,,,,,,,
,,,,,,"5. Update data Facility/Airspace by selecting the [SEARCH-ICON]

","5. The Facility/Airspace pop-up window displays.

",,,,,,,,,
,,,,,,"6. Filter for 'FLAT'.
","6. The results displays the Facility ID that contains ""FLAT"".

",,,,,,,,,
,,,,,,7. Select 'FLATWOODS 1'.,"7. The Administration : Event : Standard Events page is displayed with the Facility/Airspace updated to 'FLATWOODS 1'.
* [SAVE]
* [CANCEL]",,,,,,,,,
,,,,,,"8. Save the modified data. Click the [SAVE] button.

",8. The Administration : Event : Standard Events table grid page is displayed with the Facility/Airspace updated to 'FLATWOODS 1'.,,,,,,,,,
,,,,,,"9. Select the Logout link.

","9. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely clears your login information."" [Login Again] link.",,,,,,,,,
TC-717,Events,FA Event - DELETE existing AIR and GROUND Standard Events.,"Ensure that edited event entries can be successfully created in the events module.

","1.  User must have the necessary permissions to edit events in the FA
    Event module.
2.  The system must have an active, functioning interface for delete
    existing events.
3.  Required fields needed for creating a new vehicle must be clearly
    defined and available in the system.

",,"1. Open the RFMSS website and login with an FA credentials.

","1. Observe the following Menu options are available:
* Home
* Scheduling
* Operations
* Administration
* Reports
* Library",,,,,Not Automated,,Functional,Critical,Active
,,,,,,"2. Navigate to Administration : Event: Standard Events

","2. The Administration : Event : Standard Events table grid page is displayed.

",,,,,,,,,
,,,,,,"3. Under the Event Name column filter for ""AMMO"".

","3. The results displays the Events that contains ""AMMO"".

",,,,,,,,,
,,,,,,"4. Select delete under the Action column for Event = AMMO STORAGE and Facility/Airspace = OBSTACLE COURSE.

","4. The Administration : Event : Events : Event page is displayed with the
following system message:
Are you sure you want to delete AMMO STORAGE? 
[CONTINUE] [CANCEL]

",,FAIL - doesn't do  delete.,,,,,,,
,,,,,,"5. Select the [CONTINUE] button.

","5. The Administration : Event : Standard Events page is displayed and TST AIR EVENT record is no longer visible.

",,FAIL - doesn't do  delete.,,,,,,,
,,,,,,"6. Select the ""show deleted"" link.

","6. The Administration : Event : Events table grid page is displayed and the Event = AMMO STORAGE for Facility/Airspace = OBSTACLE COURSE.
Is no longer displayd.",,FAIL - doesn't do  delete.,,,,,,,
,,,,,,"7. Select the Logout link.

","7. The Logout page displays with a system message: ""You have been logged
out of RFMSS. Close the browser window to ensure your browser completely clears your login information.""
[Login Again] link.",,FAIL - doesn't do  delete.,,,,,,,
